topology_id,termination_status,pd_tot,objective,solve_time
1,1,12.967130633980991,298291.41492404306,3.7309999465942383
1,1,4.979177841129499,5008.384065668499,0.02499985694885254
1,1,3.788710233549954,3805.4716284179867,0.0
1,1,10.517358353912062,23234.738990552465,0.015000104904174805
1,1,3.4966631329995437,3510.980012490465,0.012000083923339844
1,1,2.411276942246241,2417.913425127993,0.004999876022338867
2,1,8.239682093999033,16907.58827620048,0.0029997825622558594
2,1,0.1778342072070483,177.9122512646008,0.01900005340576172
2,1,3.3573137393322403,3820.2258262841638,0.006999969482421875
3,1,2.258350166276311,2265.0432345107192,0.26600003242492676
5,1,2.453887964174717,2461.956920824252,0.014999866485595703
5,1,7.097630492094461,17728.685870165256,0.015000104904174805
6,1,8.918213135676739,19586.20105533088,0.017999887466430664
6,1,8.299425996873328,17730.51903116961,0.009999990463256836
6,1,2.582221892300147,2694.698411330833,0.02499985694885254
6,1,9.652256223079942,22176.09815957086,0.013000011444091797
6,1,5.8846430974889214,10390.36115413822,0.01699995994567871
7,1,5.45567429710871,11025.174653494782,0.017999887466430664
9,1,12.238506998729981,206648.2981184966,0.020000219345092773
9,1,5.5845808479697645,8050.191217794475,0.01900005340576172
12,1,1.9686669761050184,1977.4612287798125,0.01699995994567871
13,1,12.19067962793065,515238.72526737506,0.032000064849853516
13,1,15.000238660550034,752031.7443716746,0.0409998893737793
13,1,6.192886631720638,11528.741361906472,0.019999980926513672
13,1,7.1386065309151805,19167.09995997092,0.023000001907348633
14,1,5.950495010007193,10968.478727414651,0.021999835968017578
14,1,8.237299739031904,673438.7257710353,0.037999868392944336
14,1,9.837910118751898,697017.3548351404,0.029999971389770508
15,1,4.331175984201775,4371.673151386085,0.019999980926513672
15,1,11.170452991333661,26498.1967468291,0.019999980926513672
15,1,0.33565197212846354,335.81270129253636,0.014999866485595703
17,1,1.3742585254980844,2026.3982093479601,0.017000198364257812
17,1,0.7650062748486812,1109.091481628841,0.016000032424926758
17,1,7.109198213874914,19490.105750618626,0.020999908447265625
17,1,4.722717894552955,11065.69847855333,0.018999814987182617
17,1,7.260369475617148,20116.60562427203,0.019999980926513672
18,1,3.1046126690464253,300582.79211313574,0.0279998779296875
18,1,9.227993340498685,2.1559535934006795e6,0.02200007438659668
18,1,7.0702511259891665,1.7846820365399874e6,0.024000167846679688
18,1,8.877777058702943,2.1781428747910857e6,0.039999961853027344
19,1,8.641835565412032,17605.105010665597,0.020000219345092773
19,1,6.328713381208538,10597.438860638105,0.019999980926513672
19,1,12.990007701370565,585548.7367022568,0.029000043869018555
19,1,12.569608817054537,354706.6294082828,0.021000146865844727
20,1,1.2286645290996474,1232.5729168449193,0.018999814987182617
20,1,5.5866560242194225,8940.14114421172,0.01699995994567871
20,1,6.0480924677370576,10353.594813248095,0.019999980926513672
22,1,7.6336860352500295,12967.360902172364,0.023000001907348633
23,1,8.04089206890784,307954.6138181177,0.046000003814697266
24,1,4.196333745974976,5084.003251522981,0.020999908447265625
24,1,6.124529500511049,12094.148989927622,0.03699994087219238
25,1,10.111910115377878,22176.328128106044,0.02500009536743164
