1,2,3,4,5
-0.0015304112,-0.027630787,-0.0037925746,0.14467046,-0.023402335
0.3,1.275,3.9,0.7578939,-1.6421403
0.2999998,1.2749999,3.8999996,0.261428,-2.4711013
0.0001616784,0.0029202916,0.010855216,0.93360376,-0.04738547
0.29999995,1.275,3.8999999,0.40405995,-2.2617884
0.2999998,1.2749999,3.8999996,-0.71197087,-2.4591057
-5.2457985e-5,-0.00094752316,0.0029113805,0.3439292,-0.004131233
0.027959969,0.44687054,0.5214106,1.4999992,0.01310737
0.0021431523,0.03867704,0.015787436,1.0696937,-0.0017261392
0.29999968,1.2749997,0.0,1.4834223,-1.3530285
0.29999936,1.2749994,0.0,1.0704618,-1.4704318
0.00077876245,0.0140643595,0.0,0.7049808,-0.056541998
0.3,1.275,0.0,1.5,-0.82693976
0.3,1.275,0.0,1.4077057,-1.3014823
-0.0009846697,-0.017776769,0.0,0.22138706,-0.027025603
0.29999956,1.2749996,1.4415114,0.9292402,-2.442338
0.3,1.275,1.6913154,1.1831837,-1.3849695
0.2999998,1.2749999,2.7524822,1.4999999,-3.2410507
0.00050200656,0.0090670595,-0.01058578,1.1869113,-0.053308506
0.0,-0.0039778184,0.015425123,0.2535525,-0.0043309974
0.0,0.6323113,1.2564315,1.4999995,0.013995409
0.3,1.275,0.029885203,0.0,0.87894
0.29999888,1.2749989,0.30095312,0.0,0.12490636
0.0034889947,0.062875204,0.02456074,0.0,0.0696616
0.15650338,1.0832484,0.07007238,0.0,0.5462503
0.29999974,1.2749997,0.7254617,0.0,0.09393507
0.2999995,1.2749995,0.012193952,1.2236758,-1.3231634
0.3,1.275,2.21139,1.5,-0.82227784
0.2999995,1.2749995,0.09878128,1.2357147,-1.3204759
0.29999986,1.2749999,0.5492791,1.4999998,-1.1217144
0.3,1.275,3.5624232,0.0,-2.3317533
0.04502267,0.6292916,-0.016082685,0.0,0.54314953
0.022281755,0.3705198,-0.014518713,0.0,0.32931244
0.3,1.275,3.6392634,0.0,-2.0004003
0.3,1.275,3.9,0.0,-2.662077
0.00020982686,0.003789966,0.12269182,1.2142066,-0.0060704527
-0.00013234183,-0.0023904184,-0.0017859379,0.4929319,-0.04067805
0.04734275,0.649438,0.9707168,1.4999987,-0.009344829
-0.036049355,-0.54150754,3.8999999,1.5,0.0010244839
-0.2772031,-1.2514867,3.8999999,0.05339616,0.001399789
0.025937313,0.42064303,0.46939695,1.5,0.12903523
0.016962186,0.29131633,0.35578293,1.5,0.2078919
-0.0013505759,-0.024386348,-0.009151272,0.09192498,-0.022333376
0.011077746,0.19564708,2.4564707,1.5,0.044942986
0.040145334,0.5836351,0.6586792,1.5,0.03898148
-0.0013415711,-0.024223927,0.0016969896,0.716071,-0.017924389
0.3,1.275,3.3304489,1.1725372,-2.2320812
0.00052216306,0.009431083,0.047754522,1.243183,-0.0007388964
0.012701901,0.22282046,0.3839002,1.4999988,0.009681679
0.04745133,0.65035754,1.0586416,1.4999995,0.015101276
0.01525807,0.26442865,0.32510766,1.4999987,0.009557274
0.0063011134,0.11297017,0.17163238,1.4999974,0.0
0.010605087,0.18761215,0.2329661,1.4999981,0.0
-0.0013439842,-0.024267407,0.014500619,0.0,0.5213018
0.0040592346,0.07309234,1.1407228,0.0,0.45264414
-0.001334909,-0.024103666,0.0067798425,0.0,0.3048392
0.014823172,0.25745514,0.32464108,0.0,0.3093433
0.0,0.1275322,0.32520035,1.4999994,0.001132087
0.0,0.31590793,0.012675415,0.7944664,-0.2821314
0.0,0.12122206,1.2592758,1.4999996,0.0011576214
0.0,0.2763882,1.5932484,1.5,0.0011690741
0.0,0.007870211,0.027292961,0.36030537,-0.044305515
0.0102938,0.18234356,0.30519235,1.499995,-0.005618212
0.003326877,0.05996619,0.0,1.2790452,-0.0012097762
0.021071842,0.35315236,0.0,1.499999,0.008240308
0.014126317,0.2461893,0.0,1.4999965,0.015305492
0.2999998,1.2749999,0.1489262,1.4999999,-0.31166726
0.2999995,1.2749995,0.17301464,1.47114,-1.3342319
0.29999974,1.2749997,0.3670537,1.4999992,-0.5188719
0.29999998,1.275,0.8200125,1.5,0.16736789
0.3,1.275,0.0,1.5,-1.0599139
0.0,0.13634317,0.19342834,1.499998,0.006762252
0.0,-0.0039628227,0.017285362,0.5833885,-0.00454571
0.0,0.030372933,0.027800838,1.4904048,-0.001045587
-0.0033658305,0.0,0.014193924,-0.0073269336,-0.0039307144
-0.0064056604,0.0,0.054520138,1.3447903,-0.0010045524
-0.007513374,0.0,0.012398968,0.16739954,-0.0041037835
0.12486283,1.0113899,-0.008321,0.0,0.02783144
0.007960024,0.14209028,0.015711892,0.0,0.15685348
-0.272396,-1.2463272,3.8999999,0.27771235,0.0013979772
0.007225597,0.1291228,0.053269845,0.87073624,-0.15599693
-0.0013513933,-0.024401158,-0.0011055924,1.5,0.22948188
0.3,1.275,1.1152207,1.5,-0.79851615
0.04866405,0.660489,0.014263841,1.5,-0.040787634
-0.00039278556,-0.0070944848,-0.011377809,0.39869994,-0.035874926
0.0028505253,0.051408537,-0.013669703,0.8443409,-0.08683476
0.0,0.16430502,1.1471841,1.4999998,0.0012475129
-0.007135263,-0.12766084,1.1912898,0.0,0.04386452
-0.00507423,-0.09121032,1.7280405,0.0,0.07220234
-0.007473669,-0.13359301,2.6801436,0.0,0.05538165
-0.12915887,-1.022381,3.8999999,0.56772155,0.0010787504
