1,2,3
-9.874116e-9,-9.874705e-9,-9.87518e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.8747055e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.858567e-9,-9.874705e-9,-9.888619e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.8747766e-9,-9.874749e-9,-9.874705e-9
-9.874776e-9,-9.874734e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874736e-9,-9.874712e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.87478e-9,-9.874755e-9,-9.874705e-9
-9.89573e-9,-9.902124e-9,-9.897011e-9
-9.874705e-9,-9.874705e-9,-9.874706e-9
-9.874745e-9,-9.874711e-9,-9.874705e-9
-9.874749e-9,-9.874705e-9,-9.874705e-9
-9.920175e-9,-9.918286e-9,-9.902943e-9
-9.874749e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874798e-9,-9.874761e-9,-9.874705e-9
-9.954571e-9,-9.954561e-9,-9.954546e-9
-9.874753e-9,-9.874707e-9,-9.874705e-9
-9.8747925e-9,-9.874751e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.87476e-9,-9.8747135e-9,-9.874705e-9
-9.836841e-9,-9.874705e-9,-9.89424e-9
-9.954569e-9,-9.954563e-9,-9.954546e-9
-9.874773e-9,-9.874735e-9,-9.874705e-9
-9.8747615e-9,-9.874705e-9,-9.874705e-9
-9.874778e-9,-9.874731e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.954571e-9,-9.954556e-9,-9.954546e-9
-9.8747615e-9,-9.874722e-9,-9.874705e-9
-9.874755e-9,-9.874711e-9,-9.874705e-9
-9.849705e-9,-9.874719e-9,-9.893626e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.855446e-9,-9.874625e-9,-9.888099e-9
-9.874782e-9,-9.874758e-9,-9.874705e-9
-9.874779e-9,-9.8747535e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874782e-9,-9.8747375e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.956955e-9,-9.96219e-9,-9.963699e-9
