1,2,3
0.7186172,-9.911816e-9,-9.979117e-9
-9.876772e-9,-9.876775e-9,-9.876783e-9
-9.87677e-9,-9.876771e-9,-9.876777e-9
-9.880025e-9,-9.880671e-9,-9.882568e-9
-9.876769e-9,-9.8767705e-9,-9.876776e-9
-9.876766e-9,-9.876767e-9,-9.8767705e-9
-9.880734e-9,-9.880671e-9,-9.8807815e-9
-9.955292e-9,-9.955292e-9,-9.955291e-9
-9.877762e-9,-9.877774e-9,-9.877774e-9
-9.876762e-9,-9.876762e-9,-9.876771e-9
-9.876762e-9,-9.876762e-9,-9.876772e-9
-9.88069e-9,-9.880671e-9,-9.896991e-9
-9.88068e-9,-9.880671e-9,-9.880784e-9
-9.880674e-9,-9.880671e-9,-9.880786e-9
-9.955656e-9,-9.955656e-9,-9.955655e-9
-9.882429e-9,-9.882408e-9,-9.882536e-9
-9.880671e-9,-9.880671e-9,-9.88072e-9
-9.880738e-9,-9.880671e-9,-9.880749e-9
-9.979117e-9,0.35204715,0.047668006
-9.955546e-9,-9.95671e-9,-9.956723e-9
-9.87676e-9,-9.87676e-9,-9.876778e-9
0.11398444,1.22227,-9.979117e-9
8.752819e-9,1.989716,-9.979118e-9
-9.877785e-9,-9.877784e-9,-9.882536e-9
-9.881199e-9,-9.881887e-9,-9.900146e-9
-9.877563e-9,-9.877564e-9,-9.882536e-9
1.7210369,0.03218855,-9.979117e-9
0.06412507,1.7345144,-9.979117e-9
-9.880672e-9,-9.880671e-9,-9.880667e-9
-9.882464e-9,-9.882463e-9,-9.882536e-9
-9.876762e-9,-9.876762e-9,-9.876761e-9
-9.877768e-9,-9.877771e-9,-9.877776e-9
-9.877764e-9,-9.877766e-9,-9.87777e-9
-9.880052e-9,-9.880671e-9,-9.882536e-9
-9.880671e-9,-9.880671e-9,-9.880743e-9
-9.880052e-9,-9.880671e-9,-9.882536e-9
0.633275,0.058128316,-9.979117e-9
2.5166216,3.098512,-9.979117e-9
3.6983078,0.94234204,-9.979117e-9
2.8688667,2.72523,-9.979117e-9
-9.877762e-9,-9.880671e-9,-9.88079e-9
-9.877762e-9,-9.880671e-9,-9.880732e-9
1.4978409,-9.979087e-9,-9.979117e-9
-9.979117e-9,0.68501496,0.017959855
-9.876772e-9,-9.876771e-9,-9.876771e-9
-9.880651e-9,-9.880671e-9,-9.8807655e-9
-9.88065e-9,-9.880671e-9,-9.880782e-9
-9.8797885e-9,-9.8805115e-9,-9.882536e-9
0.03643165,0.7147952,-9.979118e-9
-9.955657e-9,-9.9556585e-9,-9.955661e-9
-9.882506e-9,-9.882514e-9,-9.882536e-9
-9.877793e-9,-9.882416e-9,-9.882536e-9
1.3844706,-9.979099e-9,-9.979117e-9
-9.877473e-9,-9.880671e-9,-9.880772e-9
-9.87746e-9,-9.880671e-9,-9.880697e-9
-9.87677e-9,-9.876769e-9,-9.876769e-9
-9.877763e-9,-9.877763e-9,-9.882369e-9
-9.8799955e-9,-9.880671e-9,-9.882536e-9
-9.876764e-9,-9.876766e-9,-9.87677e-9
3.3648477,-9.90474e-9,-9.979118e-9
5.4237204,-9.92018e-9,-9.979117e-9
-9.876762e-9,-9.876762e-9,-9.87677e-9
0.13776064,1.1019374,-9.979117e-9
-9.880671e-9,-9.880671e-9,-9.882536e-9
-9.880671e-9,-9.880671e-9,-9.880765e-9
-9.933306e-9,0.44755584,-9.992425e-9
